Tag,Agency,Overseas Post or Washington D.C. Office,Country,Project Name,Project Summary,Regional or Specific Knowledge,Technical Skills w/Level,Foreign Languages w/Level,Requirements/Comments
1,USAID,Lusaka,Angola,Website Design & Content Creation,Develop an online presence for the Government of Angola Technical Unit (UTG) that is the principal recipient of grants from the Global Fund,,Blogging - Int.; Digital film editing software - Int.; Graphic design - Adv.; Photography - Int.; Research - Int.; Social media - Adv.; Website design and development - Adv.,Portuguese-Continental - Adv.,"Project is to create a website, Facebook page, and Twitter account.  Ideal website would be easy to host, change and manage.  A second student will develop the content for the website, and once that is done, help develop a blog that highlights implementation and successes of Global Fund grants in Angola."
2,State ,Buenos Aires,Argentina,American English and Culture for Spanish Speakers,"Create American English language and U.S cultural content and activities for Spanish speakers, to be used on social media and with bi-national centers (14 American English language institutes and cultural centers around Argentina)","Basic or intermediate knowledge of Argentina and Argentine culture preferred, but not required;  Basic or intermediate knowledge in teaching English as a foreign language (EFL) is preferred, but not required",Blogging - Int.; Video - Beginner; Graphic design - Beginner; Research - Beginner; Social media - Int.,Spanish - Int.,"We are looking for two geographically-diverse eInterns, so we can provide different perspectives on U.S. culture to our Argentine contacts."
3,State ,Canberra,Australia,Public Affairs and Social Media,Continue to create a virtual presence in Australia by working with the Public Affairs team on social media outreach and other projects and programs,,Research - Int.; Social media - Adv.,,
4,State ,Baku,Azerbaijan,"Digital Engagement, Azerbaijan","Increase online engagement through virtual programs, social media updates, and online educational events for American Corners in Azerbaijan","Familiarity with South Caucasus, former Soviet Union republics, and Azerbaijan in particular; Beginner or better level in one: Azerbaijani, Russian, or Turkish",Blogging - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Web chat - Adv.,See Regional or Specific Knowledge,Ability to connect with students after hours or very early in the mornings (9-12 hour time difference involved).
5,State ,Manama,Bahrain,Economic Issues Media Monitoring,"Monitor domestic and international, English-language media coverage of economic and commercial issues in Bahrain","Economic or business background preferred; Knowledge of international commerce, labor issues, energy, environmental or technology policies a plus",Research - Int.; Social media - Int.,,
6,State ,Manama,Bahrain,Human Rights Media Monitoring,Monitor domestic and international English-language media coverage of human rights issues in Bahrain,"Basic knowledge of international human rights standards and key multilateral and NGO actors; Experience as research assistant in academic setting, HR organizations or research institutions; Basic familiarity with Middle East region, especially Gulf region",MS Office platform - Int.; Research - Int.; Social media - Int.,,Arabic helpful but not required.
7,State ,Hamilton,Bermuda,Bermudians Study in the U.S. ,"Serve as a point of contact for and perform outreach to students in Bermuda interested in studying in the U.S. by creating an informational website with a search mechanism, blogging about student life in the U.S., and engaging in direct outreach via online platforms",,Blogging - Int.; Video - Adv.; Research - Int.; Social media - Adv.; Web chat - Adv.; Website design and development - Adv.,,Post hopes that the eIntern will be able to set up a program that the public diplomacy assistant can continue after the intern completes the assignment.
8,State ,Gaborone,Botswana,Parliamentary Oversight Support,Provide analysis of good governance and accountability practices that could be implemented in Botswana,Interest in/Knowledge of political systems,,,
9,State ,Bandar Seri Begawan ,Brunei,Virtual Education Advising and Brunei Research,Serve as virtual education advisor for students interested in studying in the United States; support research and documentation of important Embassy contacts.,"Experience using wiki markup language to draft, research and incorporate photos in easy to use format; Interest in international education",Research - Int.; Web chat - Int.,,
10,EducationUSA,Ottawa,Canada,Advising Resource for EducationUSA Canada,Work to improve the advising services of the EducationUSA Canada Advising Center by making updates to the EducationUSA Canada website and creating new informational resources on various aspects of U.S. higher education,"Knowledge of written French is desirable but not required for this position; Familiarity with Microsoft Publisher or similar software to create documents that display written and visual content in an attractive and engaging style;  Comfortable with Microsoft Excel to create spreadsheets that organize data;  Knowledge of U.S. higher education, culture, and geography expected of a student or graduate of a U.S. college or university required; Sensitivity to working with a foreign audience and able to create content that is appropriate to the needs and interests of Canadians is a must",MS Office platform - Int.; Research - Int.,See Regional or Specific Knowledge,"The content you produce may become important advising resources for Canadian students interested in U.S. study.  If you need clarification on any aspect of the project described, please do not hesitate to contact EducationUSA Canada Advisor Michael O'Shea at educationusacanada@state.gov.   "
11,State ,Beijing,China,e-Advising Chinese Students,"Communicate with Chinese students considering study in the U.S. via social media platforms, articles, photos, videos, etc.",,Blogging - Adv.; Digital camera - Int.; Social media - Adv.; Video recorder - Int.,,"The ideal candidates expected to stay in the USA for the  academic year, and have no plan of studying abroad or working as intern in other cities/states."
12,State ,Beijing,China,Graphic Design for Outreach Materials,Design public diplomacy outreach materials for publication to be used at the Beijing American Center,,Graphic design - Int.; MS Office platform - Int.; Website design and development - Beginner,,"Advanced knowledge of China is not required; Good graphic design skills are necessary.  Experience designing outreach materials are a plus;  Strong writing skills are required as eIntern will be helping to compile, edit, and draft content."
13,State ,Beijing,China,"Digital Engagement, U.S. - China Fulbright Program","Improve the U.S. - China Fulbright Program's virtual presence by reviewing/editing its annual directory, Wikipedia (fulwiki) site, Embassy website (English/Chinese), and making web videos on ""Culture Shock for Chinese Scholars in the U.S.""",,Video - Int.; MS Office platform - Int.; Website design and development - Int.,Chinese-Mandarin - Int.,"We need an enthusiastic eIntern who can work independently, pays attention to detail and follows through on assignments."
14,USDA,Beijing,China,Agricultural Market Analysis in China,"Provide market analysis and contribute to public diplomacy in China, the #1 buyer of U.S. agricultural products (valued at $26 billion)","Some background on agricultural, economics, and/or online communication; Mandarin Required (in Writing and Reading) at a fluent level",Blogging - Adv.; Graphic design - Int.; Research - Adv.; Social media - Adv.,Chinese-Mandarin - Adv.,
15,State ,Chengdu,China,U.S. - China WWII Photo Gallery,Produce an online photo gallery that introduces and commemorates U.S. - China cooperation during WWII for display on the Consulate's official English and Chinese-language websites,Chinese-Mandarin helpful but not required; Experience performing historical research using multiple sources,Graphic design - Int.; Research - Adv.; Website design and development - Int.,,
